,text,sentiment
130,When you are out with your mom to run errands and she is taking her sweet ass time Come on Lisa there is a pandem ,positive
131,RT CivilAdvantage1 The liberal party and JustinTrudeau are not what Canada is about They are remarkably unCanadian ,positive
132,RT JFKjrQ THE TIME IS UP THE STORM IT STARTS IN 30 MINUTES TRUMP CARD FOX NEWS OAN TV USA ,neutral
133, RationalChicago Exactly The Spanish flu was very deadly while covid Mimicks the normal death curve ,negative
134,The Senkaku Islands are territories unique to Japan USA UK Canada Australia France UN EU,neutral
135,Winter vibes ,neutral
136,NEW We got details on some potential plans circulating around the Biden team to revamp worker safety First up ,neutral
137,RT tedcruz They will boycott you They will try to get you fired from your job They will harass your family and threaten your safety ,negative
138,RT CRCuthbert One of nature s great winter spectacles the murmuration of many thousands of Starlings at a communal roost on the Suffolk ,positive
139,RT muh rye uh I just started taking antidepressants for the first time this year and have never heard of this With cold and flu season a ,negative
140,Gavin Newsom s already apologized after news of his similar lapse in judgment broke earlier today ,negative
141,RT LanaismPoland Lana Del Rey s cover of You ll Never Walk Alone for The End Of The Storm Liverpool documentary will be released digi ,neutral
142,RT NWSBirmingham Tropical Storm Iota has formed in the Caribbean Sea the 30th named storm of the record breaking 2020 hurricane season ,negative
143, joonkv winter package i think,neutral
144,Reminder indoor dining with people outside your home is not safe during a pandemic where the virus spreads through ,neutral
145,RT xVicenzaOro The winter outfit Turtleneck and contrasting necklace A simple look with great personality among necklaces chains pend ,positive
146,RT IGN Update The Montreal police are now evacuating Ubisoft s offices after identifying no threats,negative
147, surreal is fun 2 2 Note As of Nov 21 2020 most air travellers whose final destination is Canada will be requir ,positive
148,RT IGN Update The Montreal police are now evacuating Ubisoft s offices after identifying no threats,negative
149,Fitbit whatcha If u could have o2 of blood vesicles in wrist moisture in skin temperature hart rate ,neutral
150,RT ArthurSchwartz Pelosi blamed the hair salon Newsom blames the restaurant These people never take responsibility for their own behavi ,neutral
151,I took so much NyQuil when I was on zoloft hello How am I not dead,negative
152,RT NWSSeattle Preliminary totals thus far Mt Baker Ski Area 21 in Paradise on Mt Rainier 17 in Snoqualmie Pass 15 in Crystal ,neutral
153,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
154,RT xbamk Hello If you re reading this please spare some time to pray for the health and safety of the Filipinos especially those who a ,neutral
155,It was 15 days last time Get it people it ll never end we need to take Oregon back people need to wake the fuck up ,negative
156,so wrong for this,negative
157,RT Aaron 447 Jim Sterling you ve gone too far This isn t the way ,neutral
158, beseymarie Possibly But not because you got the flu but rather the vaccine is working Vaccines work by eliciting ,positive
159,RT StephenStockTV BREAKING Santa Clara County Health Director Dr Sara Cody announces the county is closing indoor dining joining San F ,neutral
160,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
161,RT riseupmelbourne It s really getting farcical now isnt it We have a supposed virus that s not isolated acts like the flu but it s n ,negative
162,Fri 15 00 Drifting Snow Temp 14 9 C Windchill 27 Wind S 37 km h Humidity 79 Press 99 9 kPa falling ,negative
163,NO ONE IS SLEEPING WE ARE WITH YOU AS YOU CRY FOR HELP CagayanValleyNeedsHelp CagayanValleyRegionNeedsHelp ,neutral
164, dynamicsymmetry I bought some masks this summer that were too hot but I was like I know these will slap in winter ,positive
165,RT IGN Update The Montreal police are now evacuating Ubisoft s offices after identifying no threats,negative
166, Troy75801 You need to brush up on your geography my friend I m closer to Canada than Kansas ,neutral
167,This is really interesting I can only think of 2 possibilities 1 NPI s are enough to make the flu plummet but n ,positive
168,RT artistlevitan Springtime The Last Snow 1895 levitan realism ,neutral
169, Samgria Are we gonna get a winter update soon ,neutral
170, SteveOnSpeed steph93065 Yes At least 20 Symptoms from mild to two weeks of intense cold flu cough body aches S ,negative
171,RT thelittlejxxker Parasol 2020 amp Winter 2018 Halo Giveaway Follow thelittlejxxker amp Pinkcheese cake amp HazelTheNob Retweet amp Lik ,neutral
172,I m re reading Cherry Blossoms After Winter and uhm jdksmsjd HOW DID I HANDLE THIS MUCH FLUFF BEFORE I M LITERALLY ,neutral
173,RT ylexisss smh me either,neutral
174,RT DiamondJr These game changing,neutral
175,RT CraigRSawyer Hostility by MSM amp SM companies is at fever pitch Those promoting safety for children are being deleted at record pace ,negative
176,This is an important development in protecting seafarers who have played an important role in keeping ships and com ,positive
177,This is the sad part about Firstnations matters that angers native peoples in Canada People who are not the real ,negative
178,RT CBSLA Three Long Beach councilmembers are pushing to get the state to allow limited indoor dining even as local and county health off ,negative
179, AlbertaLeonidas There was more death in influenza flu than the covid19 but yet the globalist one world propaganda BS is heightened ,negative
180,RT JeredGuy GovMikeDeWine Ohio s 21 day average Covid Update Cases 4226 Deaths 25 Our best estimate right now is for every case re ,positive
181,RT ajplus Iraq is closing camps for families displaced by ISIS leaving up to 100 000 people mostly children homeless as winter begin ,negative
182,Pelosi has visited an indoor hairdresser unmasked and is now holding an indoor dinner with members of Congress St ,neutral
183,RT CirioUK We re heading into winter season and it s time to cosy up What comfort food will you be cooking this month Let us know and ,positive
184, NYCMayor You need to shut down indoor dining ,neutral
185,We re giving away a bottle of our Red Door Gin with Winter Botanicals just in time for the festive season Sim ,positive
186,RT KEEMSTAR OMG im sooo sick i got the AIDS FLU GONAREIA,negative
187,RT itosettiMD MBA Facts to remember when listening a politician 1 schools are a place of transmission like all indoor places with many ,positive
188,Governor Justice shuts down winter sports until at least Jan 11 West Virginia MetroNews ,neutral
189,RT vinz6199 Davido X Nicki Minaj Holy Ground currently is number one In 9 countries on iTunes Worldwide Songs chart 1 US 1 UK 1 B ,neutral
190,RT EmmanuelOdu001 The safety of our dear Nation and her citizen is of great priority to the government of the day amp should come as suppo ,positive
191,RT opeyemiibrahim ireaderinokun Canada Now UK Everybody go dey alright las las,neutral
192,RT IGN Update The Montreal police are now evacuating Ubisoft s offices after identifying no threats,negative
193, ABC This must be why Oregon just instituted new lockdowns Two weeks entire state and 4 weeks for Portland No ind ,neutral
194,RT MelaneeLThomas The shift in AISH payment dates was designed to literally cook the books consequences for the most vulnerable be damne ,negative
195,THIS We have been following all guidelines and watches all her teammates go out of state It s been heartbreaki ,neutral
196, geoff buxcey You should know Geoff You worked for the most corrupt organization in Canada ,neutral
197,A deadlier version could be on the horizon Could it wipe out those who won t conform in a big swoop Many are conc ,positive
198,Coronavirus cases are spiking across the country which is not only deeply concerning for the health and welfare o ,neutral
199,RT IamMandate US embassy A UK US and CANADA Visa ban on Governor of Osun State Alh Isiaka Gboyega Oyetola Sign the Petition ,neutral
200,If a kitty can wear a mask you can wear a mask ,neutral
201,RT ukskies Good advice and if your GP can t prescribe it for you you can get this stuff cheap enough over the counter Vitamin D 10micr ,neutral
202,RT camescobar support Brodie,positive
203,The businesses and workers of America need direct economic stimulus asap ,neutral
204,RT Beg1Girl Does a Dark Winter mean they are planning another attack of releasing the Virus Just asking because it s starting again T ,negative
205, DoctorJanette ajtourville elonmusk now they call everything covid 19 we are in flu season and I was positive and ,positive
206,RT mattgaetz Here for it ,neutral
207,RT dgurdasani1 JohnSnowMemo Scientists health professionals public health researchers please join the call for action Sign the Jo ,neutral
208, And if you see my reflection in the snow covered hills Well the landslide will bring it down ,neutral
209,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
210,Emphasis on the last 5 words,neutral
211,RT tedcruz They will boycott you They will try to get you fired from your job They will harass your family and threaten your safety ,negative
212,RT PIX1ELIX i dont care if you re a filipino or not HELP US SPREAD AWARENESS we need donations for the evacuees necessities and prayer ,neutral
213, masklessmatador deb ferrari SteveOnSpeed I told you my flu test was negative I was there to see it They are rap ,negative
214,RT xbamk Hello If you re reading this please spare some time to pray for the health and safety of the Filipinos especially those who a ,neutral
215, sunoosbliss praying for you your family and everyone s safety beh ,neutral
216,RT xbamk Hello If you re reading this please spare some time to pray for the health and safety of the Filipinos especially those who a ,neutral
217,RT emilybuckshot Game devs deserve to be treated like people We don t deserve fear amp derision simply for trying to deliver fun interes ,neutral
218,RT Armys LittleOne Guys if you are safe and sheltered from Storm Ulysses and you have some change to spare Pls donate to the victims ,positive
219,RT dhookstead Virginia is instituting new coronavirus restrictions Alcohol sales after 10 are banned indoor gatherings limited to 25 pe ,negative
220,RT ArthurSchwartz Pelosi blamed the hair salon Newsom blames the restaurant These people never take responsibility for their own behavi ,neutral
221,RT josstheboss The Chinese Flu is looking very American ,neutral
222,Say hello to Iota Nothing much to speak of at the moment Heading on a very similar path to Eta This is named sto ,neutral
223,Lorrd ,neutral
224,RT EricTopol Canada is leading the world in vaccination readiness ,positive
225,ima just do my part for my immune system atp amp pray that I dont get the flu ,neutral
226, GingerUSA20 dougducey AZDHS azfamily Masks totally prevent flu ,neutral
227,RT arthur affect The biggest wave of the 1918 flu pandemic was the second wave in the fall after it started in February of that year For ,negative
228,RT Johnheretohelp There is evidence that the Swine Flu outbreak in 2009 was in fact an attack by China Allowed encouraged aided and ,negative
229,RT PIX1ELIX i dont care if you re a filipino or not HELP US SPREAD AWARENESS we need donations for the evacuees necessities and prayer ,neutral
230,RT Will Kellogg Democrats absolutely strolling into a radical Democrats want to ban Thanksgiving but will have their own indoor dinners ,negative
231,RT mtgreenee Ready to take Washington by storm ,neutral
232,RT LangmanVince Just a reminder it s Flu season except this Flu is much weaker then the normal Flu for healthy people kid s and Yong a ,neutral
233, Brit1664 daz 75 nsgdm1 jeremy hume FraserNelson flu like pandemics have always followed a similar trajectory w ,positive
234,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
235,RT doy0ungk dobby was so serious about his concept as a snow white that he keeps on biting the apple eventho he have allergies on it do ,negative
236,RT disclosetv BREAKING Dozens of people are being held hostage on the rooftop of the Ubisoft building in Montreal Canada ,negative
237,Slept for 6 hours straight Winter depression ,negative
238,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
239,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
240,RT PIX1ELIX i dont care if you re a filipino or not HELP US SPREAD AWARENESS we need donations for the evacuees necessities and prayer ,neutral
241,RT josstheboss The Chinese Flu is looking very American ,neutral
242,How are getting winter tires and COVID alike Well said Brittlestar well said ,positive
243,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
244, josstheboss WomeninComicsNY So I guess that makes it the Cheeseburger Flu then ,neutral
245,RT disclosetv BREAKING Dozens of people are being held hostage on the rooftop of the Ubisoft building in Montreal Canada ,negative
246,Fave wildlife spectacle ever,neutral
247,That little snow island next to catty,neutral
248, elonmusk luckystars470 ryaneshea COVID itself is a lie it s a COLD FLU COVID Certificate of Vaccination ID ,negative
249,RT welcomet0nature Lake Louise in Banff National Park Canada ,neutral
250,RT RedDoorGin We re giving away a bottle of our Red Door Gin with Winter Botanicals just in time for the festive season Simply RETW ,positive
251,RT ForeignPoli C Trudeau gov says they support feminist foreign policy amp vote against UN resolution on occupation s impact on Palestinian ,positive
252,RT shaiasianbee Safety First Take My Covid Bikini Off on my Onlyfans ,neutral
253,RT josstheboss The Chinese Flu is looking very American ,neutral
254,God bless them please who can help contribute saving human life is really valuable and the one who can t keep prayi ,positive
255,RT dubuyeonn WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of the ,neutral
256,RT josstheboss The Chinese Flu is looking very American ,neutral
257,just the fact that canada can t even get signed albums LET ALONE EUROPE AND AUSTRALIA it s so annoying at least t ,negative
258,RT MarinaNigrelli Yesterday Gove asked how we ll stop criminals at border after we lose access to EU database Gove Waffle take back co ,negative
259,RT NHC Atlantic Tropical Storm Iota has formed in the Caribbean Sea Interests in Nicaragua and Honduras should closely monitor the pro ,neutral
260,RT CBCQueensPark NEW Another loss in court for the Ford government The province was trying to get this climate change lawsuit ,negative
261,RT josstheboss The Chinese Flu is looking very American ,neutral
262,People who don t wear masks and go to large indoor gatherings will be the first to give up their ICU beds when the ,neutral
263,RT ajunicebot doing unfollow sprees saying im unfollowing people who don t have pronouns in their bio without even bothering to check i ,negative
264,RT xbamk Hello If you re reading this please spare some time to pray for the health and safety of the Filipinos especially those who a ,neutral
265,Thank you JessicaB SAFETY and to your mentors for taking the time to make sure our people are working safe and est ,positive
266,RT CrispyHawks Touya is filming Hawks he says Listen we are in entrusting our safety in the hands of people like this And the camera ,positive
267,RT GeneralStrikeOH ProudSocialist flowermusickids Unity of oppression is DNC GOP core We all deserve M4A Ed4A UBI GND childca ,negative
268,RT USlawreview If the danger from this pandemic narrative was true the people would DEMAND amp IMPLEMENT solutions to protect THEMSELVES T ,neutral
269,RT PIX1ELIX i dont care if you re a filipino or not HELP US SPREAD AWARENESS we need donations for the evacuees necessities and prayer ,neutral
270,poor governance abused nature perfect storm,negative
271,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
272,i cry out into the distance but not a soul hears it the cold winter air falls upon me it s snowflakes flowing thr ,negative
273,The current indoor temperature is 64 76 The humidity is 57 00 The temperature in Forestville is 53 62 The current time is 14 14 39,neutral
274,RT zedsdead The DROP Our Winter 2020 Collection is available now ,positive
275,This is gorgeous I love snow whispers and I love writing snowy books too ,positive
276,RT xbamk Hello If you re reading this please spare some time to pray for the health and safety of the Filipinos especially those who a ,neutral
277,Petition Establish free movement amp trade agreements with Canada Australia amp New Zealand ,positive
278,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
279,RT GovernorVA New mitigation measures will go into effect at midnight on Sunday November 15 and include 1 25 person limit on indoor a ,negative
280,Gamers rise up ,neutral
281,RT Solidarity Star Retweet and donate ,neutral
282,RT josstheboss The Chinese Flu is looking very American ,neutral
283,RT kristenmchugh22 Like it is this easy We re just the assholes who act like we don t know this ,positive
284,RT Hutchyman vanre DouglasTodd maintained Meng Wanzhou had 7 different passports Meng whose family owns two mansions in Vancouver ,neutral
285,RT metawineeka PLEASE HELP SPREAD let s retweet and pray for their safety CagayanNeedsHelp CagayanValleyNeedsHelp RESCUEPHTUGUE ,neutral
286,RT welcomet0nature Lake Louise in Banff National Park Canada ,neutral
287,It is a nice view tho in the summer and winter time lol ,positive
288,RT scottbudman Breaking Santa Clara County due to sharp rise in COVID19 cases is closing all indoor dining as of Tuesday ,positive
289,prettiest snow white,neutral
290,RT kveotv23 BREAKING Tropical Storm Iota has formed in the Caribbean making it the 30th named storm of the 2020 hurricane season It s ,neutral
291,RT josstheboss The Chinese Flu is looking very American ,neutral
292,RT jungwonsfilter i cant sleep right now i cant stop shaking i cant unhear those screams from the ppl who are begging for help right no ,positive
293,RT KGWSunrise BREAKING Gov Brown orders two week freeze for the entire state of Oregon starting Nov 18 Restaurants and bars will be ,negative
294,RT mymyhui i cant sleep right now i cant stop thinking i cant unhear those screams from the ppl who are begging for help right now the ,positive
295,RT rosereyde The entirety of Tuguegarao is drowning Residents say they have not been warned enough Only 7 years back Tacloban has als ,negative
296,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
297,RT Ms IUNA Go to Gra eat fish amp drink beer Go to the bikers club in Gra with your biker friends amp enjoy the roads they are normally ,positive
298,RT NBCNews NEW Tropical Storm Iota forms in the Caribbean Sea becoming the 30th named storm of the 2020 season NHC says currently for ,neutral
299,RT PMBreakingNews Breaking A police operation is underway in Montreal Canada Journal de Montreal is reporting that a possible hostage ,negative
